#Iteration		#Negative Loglikelihood
0			     -904262.49521055
1			     -1004356.4449904
2			     -1037636.7830117
3			     -1058684.9135846
4			     -1065778.6434976
5			     -1068927.7624924	
6			     -1070804.3760237
7			     -1072104.3702659
8			     -1072955.3324482
9			     -1073575.8603676
10			     -1074049.4997503
11			     -1074466.260817
12			     -1074781.0131597
13			     -1075069.7652972
14			     -1075275.9343187	
15			     -1075404.549458
16			     -1075543.5598676
17			     -1075604.8606115
18			     -1075652.5814001
19			     -1075709.8938947
20			     -1075738.989488
21			     -1075771.5686428
22			     -1075782.8545172
23			     -1075800.9032928
24			     -1075831.2965284
25			     -1075831.2965284
26			     -1075831.822034
27			     -1075825.4480113


